iter	Passed	Remaining
0	1082	5410005
1	1319	3296916
2	1465	2440532
3	1671	2087891
4	1793	1791979
5	1902	1583826
6	2021	1441780
7	2170	1354128
8	2299	1275290
9	2471	1233462
10	2599	1179126
11	2737	1137770
12	2928	1123246
13	3036	1081471
14	3153	1048077
15	3220	1003339
16	3388	993229
17	3539	979724
18	3649	956868
19	3747	933096
20	3843	911296
21	3981	900888
22	4115	890643
23	4225	876136
24	4331	861972
25	4453	851945
26	4575	842744
27	4680	831054
28	4773	818309
29	4936	817837
30	5070	812744
31	5348	830340
32	5503	828384
33	5685	830355
34	5821	825753
35	5966	822721
36	6182	829326
37	6314	824562
38	6465	822450
39	6575	815358
40	6694	809739
41	6830	806268
42	6942	800314
43	7083	797863
44	7223	795338
45	7361	792834
46	7530	793583
47	7729	797416
48	7859	794110
49	7924	784496
50	8073	783424
51	8237	783806
52	8355	779896
53	8487	777376
54	8657	778347
55	8772	774460
56	8935	774895
57	9022	768810
58	9119	763736
59	9213	758551
60	9321	754721
61	9474	754600
62	9615	753550
63	9760	752766
64	9854	748203
65	10004	747914
66	10148	747202
67	10306	747558
68	10428	745264
69	10523	741180
70	10666	740506
71	10798	739066
72	10895	735366
73	11008	732776
74	11096	728639
75	11176	724103
76	11309	723048
77	11460	723198
78	11591	722046
79	11730	721439
80	11833	718622
81	11866	711688
82	11944	707625
83	12042	704758
84	12139	701926
85	12231	698924
86	12366	698344
87	12479	696602
88	12573	693821
89	12655	690405
90	12776	689218
91	12883	687301
92	12978	684766
93	13069	682125
94	13192	681159
95	13301	679492
96	13392	676936
97	13475	674073
98	13574	672004
99	13670	669854
100	13785	668662
101	13931	668976
102	14059	668457
103	14164	666802
104	14280	665737
105	14380	663926
106	14504	663282
107	14617	662101
108	14701	659684
109	14811	658431
110	14913	656870
111	15048	656771
112	15151	655263
113	15241	653250
114	15346	651894
115	15462	651015
116	15611	651565
117	15731	650849
118	15842	649788
119	15992	650366
120	16108	649519
121	16226	648788
122	16365	648896
123	16477	647918
124	16597	647287
125	16740	647582
126	16840	646187
127	16939	644774
128	17122	646539
129	17241	645891
130	17365	645435
131	17481	644712
132	17611	644490
133	17763	645042
134	17836	642781
135	17964	642489
136	18094	642294
137	18283	644173
138	18422	644270
139	18507	642482
140	18593	640756
141	18701	639811
142	18800	638560
143	18898	637283
144	18990	635843
145	19090	634681
