iter	Logloss
0	0.6834081898
1	0.6747287657
2	0.6666283545
3	0.659453525
4	0.6526916233
5	0.6463525371
6	0.6408419168
7	0.6357317157
8	0.6309741997
9	0.6265448354
10	0.622438665
11	0.6185711576
12	0.615371898
13	0.6121276601
14	0.6092401932
15	0.6066111295
16	0.6040179317
17	0.6016057338
18	0.5992992412
19	0.5974273003
20	0.5957176435
21	0.5942163663
22	0.592570575
23	0.5908330293
24	0.5892512685
25	0.5879167887
26	0.5866007772
27	0.5852485901
28	0.5842745575
29	0.5833207636
30	0.5823489876
31	0.5813350968
32	0.580372845
33	0.5795293579
34	0.5786061916
35	0.5778340613
36	0.5771853707
37	0.5762986627
38	0.5756065863
39	0.5748434279
40	0.5740507491
41	0.5734048146
42	0.5728450509
43	0.5722696373
44	0.5716181255
45	0.5711152667
46	0.5704897494
47	0.5701743537
48	0.5697475678
49	0.5693494504
50	0.568919425
51	0.5684437391
52	0.5679893746
53	0.5676521812
54	0.567322484
55	0.5669015674
56	0.5663770157
57	0.5658646481
58	0.565533842
59	0.5651725915
60	0.5647989807
61	0.5644603916
62	0.5641963299
63	0.5638831737
64	0.5634745711
65	0.5631349525
66	0.5629036848
67	0.5626936238
68	0.5625001951
69	0.5621968853
70	0.5619242596
71	0.5616913315
72	0.5614461366
73	0.5612108718
74	0.5609955581
75	0.5607007191
76	0.5604590013
77	0.5602384459
78	0.5600440067
79	0.5598607519
80	0.5596128911
81	0.5593643381
82	0.5591646763
83	0.5589985599
84	0.5587302618
85	0.5585407148
86	0.5582919803
87	0.5581393529
88	0.557988218
89	0.557762936
90	0.557606677
91	0.5574111656
92	0.5572370696
93	0.5570587183
94	0.5568526608
95	0.5566823732
96	0.5565700424
97	0.556189648
98	0.5560659498
99	0.5559507679
100	0.555844004
101	0.5557232871
102	0.5555533787
103	0.5554424393
104	0.5552655978
105	0.5551008528
106	0.5549475636
107	0.5547345833
108	0.5546208237
109	0.5543864039
110	0.5542325521
111	0.55413332
112	0.5539714109
113	0.5538426471
114	0.5537600719
115	0.5536576417
116	0.5534882405
117	0.5533608757
118	0.5532118489
119	0.5530670564
120	0.5528832922
121	0.5527780838
122	0.5527428381
123	0.5526430314
124	0.5524916226
125	0.5523478226
126	0.5521866943
127	0.5520321629
128	0.5518594968
129	0.5517299632
130	0.5516114614
131	0.5515027357
132	0.551366774
133	0.5512759152
134	0.5511760692
135	0.5510799543
136	0.5509495335
137	0.5508472242
138	0.5507654833
139	0.5506411218
140	0.5505059222
141	0.5504453738
142	0.5503638981
143	0.5502744032
144	0.5502307326
145	0.5501153174
146	0.5500374346
147	0.5499043037
148	0.5498234718
149	0.5497719544
150	0.549709856
151	0.5496232209
152	0.5495178479
153	0.5494141285
154	0.5493135044
155	0.5492207734
156	0.5491669024
157	0.5490907797
158	0.548969183
159	0.5488612797
160	0.5488000211
161	0.5487783232
162	0.548711045
163	0.5486253824
164	0.5485440279
165	0.5484821971
166	0.5483752145
167	0.5482821095
168	0.5482010103
169	0.5481590953
170	0.5480839667
171	0.5480067461
172	0.5479310376
173	0.5478036755
174	0.5476881968
175	0.5476243412
176	0.5475475039
177	0.547413674
178	0.5473353892
179	0.5472514556
180	0.5472057964
181	0.5471545402
182	0.5470605868
183	0.5469470502
184	0.5468882358
185	0.5468124433
186	0.5467183687
187	0.5466606028
188	0.5465650324
189	0.5463786047
190	0.5463373007
191	0.5462978495
192	0.5462457206
193	0.5461430961
194	0.5460887924
195	0.5460463165
196	0.5459567484
197	0.545875163
198	0.5458015902
199	0.5456893187
200	0.5456252829
201	0.5455400517
202	0.5455012534
203	0.5454293945
204	0.5453501986
205	0.5452582121
206	0.5452122426
207	0.5451453684
208	0.5450372795
209	0.5449822007
210	0.5448922868
211	0.5448320569
212	0.5448102032
213	0.544749048
214	0.5445842059
215	0.5445309678
216	0.544381048
217	0.5443290104
218	0.544291835
219	0.5442241435
220	0.5441605744
221	0.5440817432
222	0.5439655794
223	0.5439264751
224	0.5438712456
225	0.5438520933
226	0.5437921883
227	0.5437262696
228	0.5436541012
229	0.5435740824
230	0.5434979584
231	0.5434487538
232	0.5434010064
233	0.5433300327
234	0.5432607725
235	0.5431977289
236	0.5431135135
237	0.5430587751
238	0.5430129476
239	0.5429244705
240	0.5428431443
241	0.5427499646
242	0.5426558733
243	0.5424829582
244	0.5424372722
245	0.5423453773
246	0.5422864648
247	0.5422480194
248	0.5422096498
249	0.5421709478
250	0.5421348763
251	0.5420792002
252	0.542010549
253	0.5419447831
254	0.5418839281
255	0.5418467733
256	0.5417637857
257	0.5417209896
258	0.5416327087
259	0.5415718783
260	0.5415137691
261	0.5414627789
262	0.5414268326
263	0.5414147321
264	0.541312786
265	0.5412139243
266	0.5411750404
267	0.5410298855
268	0.5409367737
269	0.5408746764
270	0.5408256151
271	0.540779517
272	0.5407455063
273	0.5406778604
274	0.5406184732
275	0.5405325858
276	0.5404903129
277	0.5404256402
278	0.540366059
279	0.5403250973
280	0.5402380822
281	0.5402043351
282	0.540119446
283	0.5400768858
284	0.5399280778
285	0.5398883113
286	0.5397781381
287	0.5396130632
288	0.5395741021
289	0.5395527391
290	0.5394734153
291	0.5394006688
292	0.5393180482
293	0.5392729658
294	0.5392129189
295	0.539044897
296	0.5389947242
297	0.53894553
298	0.5389191597
299	0.5388537864
300	0.5388093507
301	0.5387673143
302	0.5386881661
303	0.538622424
304	0.5385888126
305	0.5384948811
306	0.538446121
307	0.5383895074
308	0.5382709661
309	0.5382509453
310	0.5382046589
311	0.538120891
312	0.5381004467
313	0.5380644163
314	0.5380412047
315	0.5379866445
316	0.5379415826
317	0.5378888557
318	0.5377947075
319	0.5377625299
320	0.5377036756
321	0.5376462368
322	0.5376006364
323	0.5375212539
324	0.5374820699
325	0.5374378354
326	0.5373876413
327	0.53734515
328	0.5373249171
329	0.5372819062
330	0.5372485376
331	0.5372058394
332	0.5371308508
333	0.5370390241
334	0.53699832
335	0.5369327323
336	0.5368239148
337	0.536758222
338	0.5367135817
339	0.5366856796
340	0.536627727
341	0.5365907861
342	0.5365052583
343	0.5364173095
344	0.5363909497
345	0.5363499554
346	0.5362767516
347	0.5362307196
348	0.5361792202
349	0.5361171426
350	0.5360551421
351	0.5359458702
352	0.5358735345
353	0.5358432187
354	0.535764106
355	0.5357042275
356	0.5356600026
357	0.5355483734
358	0.535493042
359	0.5354429187
360	0.5354042786
361	0.5353459784
362	0.5352673627
363	0.5352241522
364	0.5351635169
365	0.5350946363
366	0.5350581806
367	0.5350049031
368	0.5349470069
369	0.5349029235
370	0.5348566166
371	0.5348092588
372	0.5347546744
373	0.5346921998
374	0.5346654799
375	0.5346322107
376	0.5346019853
377	0.5345219032
378	0.5344738372
379	0.5344258517
380	0.5343881079
381	0.5343453346
382	0.5343354715
383	0.5342759966
384	0.5342518902
385	0.5342332278
386	0.5341585081
387	0.5341054879
388	0.5340837339
389	0.5340209528
390	0.5339895
391	0.5339398435
392	0.5339049937
393	0.5338527469
394	0.5337800568
395	0.5337484447
396	0.5337025622
397	0.5336645532
398	0.5336056231
399	0.5335207732
400	0.5334843589
401	0.5334520642
402	0.5333773102
403	0.5333202341
404	0.5332410085
405	0.5331913875
406	0.5331724815
407	0.5331380564
408	0.5330772134
409	0.5330091903
410	0.532956884
411	0.5328924432
412	0.5328386622
413	0.5327739245
414	0.5327502584
415	0.5326763583
416	0.5326242284
417	0.5325855301
418	0.5325463324
419	0.5325230189
420	0.5325020246
421	0.5324659515
422	0.5324274872
423	0.5324079152
424	0.5323522937
425	0.5322576763
426	0.5321461862
427	0.5321135017
428	0.5320910495
429	0.5320379809
430	0.5319876423
431	0.5319546793
432	0.5319302561
433	0.5318927495
434	0.5318566005
435	0.5318451921
436	0.5317797576
437	0.5317357031
438	0.5316858453
439	0.5316548875
440	0.5316435442
441	0.5316092413
442	0.5315606332
443	0.5315249898
444	0.5314967348
445	0.5314560138
446	0.5313892878
447	0.5313669139
448	0.531337425
449	0.5313236957
450	0.5313068259
451	0.5312780023
452	0.5312260443
453	0.5312072589
454	0.5311603568
455	0.531132166
456	0.5311081673
457	0.5310976507
458	0.5310545929
459	0.5310285926
460	0.5309800306
461	0.5309064389
462	0.5308754032
463	0.5307819277
464	0.5307454552
465	0.5307161375
466	0.5306476691
467	0.5306019868
468	0.5305763891
469	0.5305480097
470	0.530493749
471	0.5304543391
472	0.530388987
473	0.5303673484
474	0.5303076311
475	0.5302921658
476	0.5302563292
477	0.5302398685
478	0.5301898168
479	0.5301419039
480	0.5301024194
481	0.5300408409
482	0.5300150056
483	0.5299735206
484	0.5299110452
485	0.5298632534
486	0.5298034754
487	0.5297650321
488	0.5297392881
489	0.5296880657
490	0.5296515523
491	0.5296029886
492	0.5295673255
493	0.5295303005
494	0.5294833805
495	0.5294579701
496	0.5294087431
497	0.5293595861
498	0.5293235
499	0.5292724076
500	0.529205604
501	0.5291482558
502	0.529112608
503	0.5290662125
504	0.5290288644
505	0.5289810014
506	0.5289483234
507	0.5289325891
508	0.5288646679
509	0.5288523921
510	0.5288253676
511	0.5288003915
512	0.5287795466
513	0.5287256564
514	0.5286982974
515	0.5286604964
516	0.528631607
517	0.5285869099
518	0.5285565957
519	0.5285239424
520	0.5284840231
521	0.5284279387
522	0.5284116353
523	0.5283836498
524	0.5283251406
525	0.5282886764
526	0.5282632703
527	0.5282534914
528	0.5282131052
529	0.5281710589
530	0.5281489477
531	0.5280924774
532	0.5280821399
533	0.5280569081
534	0.5280342992
535	0.5279910655
536	0.5279470659
537	0.5279152773
538	0.5278713835
539	0.5278533703
540	0.5278321267
541	0.5277994394
542	0.5277514892
543	0.5277296586
544	0.5276643964
545	0.5276576899
546	0.52764348
547	0.5275925836
548	0.5275446709
549	0.5275200359
550	0.5274749853
551	0.5274136879
552	0.5273801964
553	0.5273697175
554	0.5273567431
555	0.5273175581
556	0.5273020249
557	0.5272478462
558	0.5272152197
559	0.5271778022
560	0.5271133847
561	0.5270741677
562	0.5270512505
563	0.5270268736
564	0.5270028242
565	0.5269787449
566	0.5269717253
567	0.5269281121
568	0.5268753051
569	0.5268460416
570	0.5268322482
571	0.5268155499
572	0.5267832698
573	0.5267520931
574	0.5267259559
575	0.5266928439
576	0.5266731267
577	0.5266318794
578	0.5265978243
579	0.5265684184
580	0.5265314627
581	0.5265117513
582	0.5264713291
583	0.5264229033
584	0.5263441671
585	0.5263031274
586	0.5262440637
587	0.5262094154
588	0.5261685903
589	0.5261234053
590	0.5260867325
591	0.5260430569
592	0.5260000039
593	0.5259767386
594	0.5259347321
595	0.525915903
596	0.5258893127
597	0.5258431351
598	0.5258313626
599	0.5258104299
600	0.5257813733
601	0.5257548843
602	0.5257372919
603	0.5257265656
604	0.5256916943
605	0.5256679798
606	0.5256207459
607	0.5256009235
608	0.525569855
609	0.5255003485
610	0.5254709954
611	0.5254602522
612	0.5254210647
613	0.5253965811
614	0.5253516791
615	0.525327878
616	0.5253082565
617	0.5252833055
618	0.5252573983
619	0.525236944
620	0.5252322269
621	0.5251983103
622	0.5251571414
623	0.5251127794
624	0.5250967364
625	0.5250666753
626	0.5250213444
627	0.524998152
628	0.5249550454
629	0.5249350434
630	0.5249044981
631	0.5248621614
632	0.5248228804
633	0.5248088623
634	0.5247751125
635	0.5247454778
636	0.5247326046
637	0.5247046768
638	0.5246624873
639	0.5246405707
640	0.5245918959
641	0.5245539807
642	0.5244925629
643	0.5244680761
644	0.5244459898
645	0.5244244146
646	0.5243894208
647	0.5243444012
648	0.5243286065
649	0.5243171421
650	0.5243154247
651	0.5242958233
652	0.5242685876
653	0.5242401077
654	0.5241787277
655	0.5241507952
656	0.5241251668
657	0.5241034431
658	0.524082131
659	0.5240599093
660	0.5240213377
661	0.5239839206
662	0.5239679948
663	0.5239214771
664	0.5238832871
665	0.5238416068
666	0.5238224321
667	0.5238049648
668	0.5237939997
669	0.5237502351
670	0.5237251951
671	0.5236942656
672	0.5236719844
673	0.5236496007
674	0.5236309149
675	0.52359339
676	0.5235702737
677	0.5235388049
678	0.523484973
679	0.5234305732
680	0.5234116965
681	0.5233857803
682	0.5233577004
683	0.5232945393
684	0.5232333452
685	0.5232036477
686	0.523201984
687	0.5231770958
688	0.5231535104
689	0.5231377254
690	0.5231190817
691	0.5230697022
692	0.5230475231
693	0.5230074739
694	0.522989422
695	0.5229695635
696	0.5229445158
697	0.5229046176
698	0.5228909807
699	0.5228251038
700	0.5228139024
701	0.5227756834
702	0.5227318116
703	0.5226870579
704	0.5226594544
705	0.5226363262
706	0.5226183053
707	0.5225711718
708	0.5225452944
709	0.5225199141
710	0.5225048198
711	0.5224777116
712	0.5224606348
713	0.5224336031
714	0.5224180254
715	0.522379649
716	0.5223622627
717	0.5223199946
718	0.5222963922
719	0.5222343615
720	0.5222141434
721	0.5221717984
722	0.5221180793
723	0.5220882961
724	0.5220669665
725	0.5220457112
726	0.5220368322
727	0.5220087394
728	0.5220004142
729	0.5219661997
730	0.5219319398
731	0.5219025858
