iter	Passed	Remaining
0	215	1075403
1	377	943288
2	445	742041
3	577	720959
4	676	676166
5	807	672117
6	939	670010
7	1066	665598
8	1202	667090
9	1344	671087
10	1458	661345
11	1557	647545
12	1689	648090
13	1839	655057
14	1931	641817
15	2063	642748
16	2206	646648
17	2343	648765
18	2436	638675
19	2543	633317
20	2625	622479
21	2757	623922
22	2874	622106
23	2955	612769
24	3044	605927
25	3125	597907
26	3260	600460
27	3392	602492
28	3482	596896
29	3615	598897
30	3721	596530
31	3845	597079
32	4021	605362
33	4142	605064
34	4241	601703
35	4330	597121
36	4452	597256
37	4591	599502
38	4683	595738
39	4796	594777
40	4963	600312
41	5090	600972
42	5222	602011
43	5323	599617
44	5479	603309
45	5650	608496
46	5790	610179
47	5938	612641
48	6028	609112
49	6138	607740
50	6231	604662
51	6395	608538
52	6583	614504
53	6680	611881
54	6805	611888
55	6922	611201
56	7038	610415
57	7158	609995
58	7264	608400
59	7352	605371
60	7517	608650
61	7729	615647
62	7886	618050
63	8027	619097
64	8154	619128
65	8267	618058
66	8370	616271
67	8565	621271
68	8737	624386
69	8899	626764
70	9059	628919
71	9209	630369
72	9350	631069
73	9530	634443
74	9708	637520
75	9854	638480
76	9971	637556
77	10107	637822
78	10242	638027
79	10360	637186
80	10496	637422
81	10663	639520
82	10840	642201
83	10991	643261
84	11105	642144
85	11251	642915
86	11439	646014
87	11603	647681
88	11728	647179
89	11850	646519
90	12009	647852
91	12181	649865
92	12358	652063
93	12518	653354
94	12724	656990
95	12860	656968
96	12974	655792
97	13157	658127
98	13326	659733
99	13492	661146
100	13640	661641
101	13814	663350
102	13914	661528
103	14021	660098
104	14182	661190
105	14271	658927
106	14444	660530
107	14613	661959
108	14793	663804
109	15012	667367
110	15162	667825
111	15300	667766
112	15419	666868
113	15539	666030
114	15646	664639
115	15849	667319
116	16011	668222
117	16171	669074
118	16316	669257
119	16478	670139
120	16621	670225
121	16787	671240
122	16918	670820
123	17087	671936
124	17235	672165
125	17319	669977
126	17477	670611
127	17594	669682
128	17749	670214
129	17865	669258
130	18014	669579
131	18139	668958
132	18293	669442
133	18457	670269
134	18612	670730
135	18775	671496
136	19018	675093
137	19136	674216
138	19294	674740
139	19444	674992
140	19624	676295
141	19781	676736
142	19891	675621
143	20006	674647
144	20091	672708
145	20194	671398
146	20317	670751
147	20392	668550
148	20559	669354
149	20687	668902
150	20825	668767
151	20982	669225
152	21095	668306
153	21196	666996
154	21344	667202
155	21466	666569
156	21614	666743
157	21775	667325
158	21925	667552
159	22093	668339
160	22328	671107
161	22453	670555
162	22584	670184
163	22676	668677
164	22786	667700
165	22922	667502
166	23028	666443
167	23168	666362
168	23283	665572
169	23392	664627
170	23495	663507
171	23623	663110
172	23768	663169
173	23848	661448
174	23957	660536
175	24128	661350
176	24250	660780
177	24405	661143
178	24578	661984
179	24712	661753
180	24832	661158
181	24961	660784
182	25161	662321
183	25338	663216
184	25461	662678
185	25628	663318
186	25759	662994
187	25936	663852
188	26116	664795
189	26330	666582
190	26466	666364
191	26605	666235
192	26745	666152
193	26838	664868
194	27005	665437
195	27132	665016
196	27310	665840
197	27449	665710
198	27587	665560
199	27776	666633
200	27940	667105
201	28053	666344
202	28236	667234
203	28345	666387
204	28470	665921
205	28576	665024
206	28676	663985
207	28797	663441
208	28978	664293
209	29121	664254
210	29273	664406
211	29416	664358
212	29545	664014
213	29684	663877
214	29824	663762
215	29939	663096
216	30093	663308
217	30233	663195
218	30376	663152
219	30529	663323
220	30678	663401
221	30840	663773
222	30998	664037
223	31163	664444
224	31264	663492
225	31433	664007
226	31602	664491
227	31717	663836
228	31899	664588
229	32046	664620
230	32202	664827
231	32392	665718
232	32555	666066
233	32690	665833
234	32823	665543
235	32939	664922
236	33040	664009
237	33151	663308
238	33250	662363
239	33333	661122
240	33515	661832
241	33670	661994
242	33850	662658
243	34045	663599
244	34209	663940
245	34298	662825
246	34391	661792
247	34554	662117
248	34717	662420
249	34832	661810
250	34957	661413
251	35121	661739
252	35284	662041
253	35423	661897
254	35545	661431
255	35732	662160
256	35906	662659
257	36029	662220
258	36183	662347
259	36321	662174
260	36441	661673
261	36605	661970
262	36771	662299
263	36916	662251
264	37047	661968
265	37163	661390
266	37263	660558
267	37450	661261
268	37589	661102
269	37674	660005
270	37833	660206
271	37994	660428
272	38141	660422
273	38302	660640
274	38430	660298
275	38530	659491
276	38662	659223
277	38831	659575
278	39000	659937
279	39188	660604
280	39334	660574
281	39498	660823
282	39705	661803
283	39838	661541
284	39987	661540
285	40175	662189
286	40400	663439
287	40565	663693
288	40666	662911
289	40800	662656
290	40984	663213
291	41094	662581
292	41288	663292
293	41432	663202
294	41558	662821
295	41704	662757
296	41851	662715
297	41967	662185
298	42118	662207
299	42274	662295
300	42433	662445
301	42578	662369
302	42728	662357
303	42897	662651
304	43053	662740
305	43308	664343
306	43461	664384
307	43687	665524
308	43847	665660
309	43962	665116
310	44039	663989
311	44211	664302
312	44426	665255
313	44705	667169
314	44927	668205
315	45048	667741
316	45251	668491
317	45387	668251
318	45595	669072
319	45748	669065
320	45999	670510
321	46213	671384
322	46323	670753
323	46462	670545
324	46565	669828
325	46662	669023
326	46736	667883
327	46874	667673
328	47009	667420
329	47107	666636
330	47216	666028
331	47367	666000
332	47526	666085
333	47611	665135
334	47725	664595
335	47882	664658
336	48108	665672
337	48194	664744
338	48358	664892
339	48483	664503
340	48706	665471
341	48846	665288
342	49002	665313
343	49199	665903
344	49332	665634
345	49473	665467
346	49668	666011
347	49812	665880
348	49900	665004
349	50110	665759
350	50322	666520
351	50485	666634
352	50623	666425
353	50793	666623
354	50929	666390
355	51037	665781
356	51131	664994
357	51222	664179
358	51321	663459
359	51399	662483
360	51470	661417
361	51573	660770
362	51716	660637
363	51824	660047
364	51908	659170
365	52049	659007
366	52204	659031
367	52396	659509
368	52589	660007
369	52705	659535
370	52840	659290
371	52968	658978
372	53116	658898
373	53201	658046
374	53316	657565
375	53451	657342
376	53556	656738
377	53685	656444
378	53844	656505
379	53976	656240
380	54129	656225
381	54265	656015
382	54432	656177
383	54571	655995
384	54726	656010
385	54817	655253
386	54896	654358
387	54997	653738
388	55086	652969
389	55291	653573
390	55385	652868
391	55457	651911
392	55603	651817
393	55765	651919
394	55927	652015
395	56052	651681
396	56201	651624
397	56323	651259
398	56461	651071
399	56658	651572
400	56805	651496
401	56919	651039
402	57029	650533
403	57150	650162
404	57292	650025
405	57393	649428
406	57519	649113
407	57628	648604
408	57750	648244
409	57883	648014
410	57951	647050
411	58020	646115
412	58176	646139
413	58385	646758
414	58528	646631
415	58668	646477
416	58829	646560
417	58949	646185
418	59104	646204
419	59246	646070
420	59366	645696
421	59470	645157
422	59595	644841
423	59717	644499
424	59902	644830
425	60045	644713
426	60145	644137
427	60312	644273
428	60385	643404
429	60532	643332
430	60689	643366
431	60780	642696
432	60897	642302
433	61062	642422
434	61361	643941
435	61493	643708
436	61668	643924
437	61811	643800
438	61921	643332
439	62049	643059
440	62207	643087
441	62332	642785
442	62513	643055
443	62709	643475
444	62848	643310
445	62951	642785
446	63140	643132
447	63249	642660
448	63348	642095
449	63508	642140
450	63671	642221
451	63762	641572
452	63896	641361
453	64038	641227
454	64234	641638
455	64375	641494
456	64509	641285
457	64647	641112
458	64804	641128
459	64890	640439
460	65015	640136
461	65219	640622
462	65342	640296
463	65491	640237
464	65597	639748
465	65742	639653
466	65868	639361
467	65980	638935
468	66059	638202
469	66174	637812
470	66320	637715
471	66390	636899
472	66461	636091
473	66542	635382
474	66611	634560
475	66719	634114
476	66853	633914
477	67058	634393
478	67196	634228
479	67330	634031
480	67490	634069
481	67639	634013
482	67776	633844
483	67952	634039
484	68080	633779
485	68219	633626
486	68403	633892
487	68543	633744
488	68649	633288
489	68763	632908
490	68872	632478
491	69016	632367
492	69103	631739
493	69237	631551
494	69384	631467
495	69515	631242
496	69625	630832
497	69715	630236
498	69829	629868
499	69941	629472
500	70080	629324
501	70187	628889
502	70305	628557
503	70483	628755
504	70648	628840
505	70805	628854
506	70917	628462
507	71018	627982
508	71163	627887
509	71302	627743
510	71405	627281
511	71542	627112
512	71721	627317
513	71892	627453
514	72041	627393
515	72192	627346
516	72325	627147
517	72511	627405
518	72665	627383
519	72793	627147
520	72996	627544
521	73129	627347
522	73221	626794
523	73331	626396
524	73473	626277
525	73601	626035
526	73743	625907
527	73912	626015
528	74032	625708
529	74169	625544
530	74304	625359
531	74522	625875
532	74621	625396
533	74697	624718
534	74866	624818
535	74950	624218
536	75074	623945
537	75221	623861
538	75361	623728
539	75485	623457
540	75586	622996
541	75709	622720
542	75823	622365
543	75967	622264
544	76053	621685
545	76134	621070
546	76255	620781
547	76335	620155
548	76537	620529
549	76690	620494
550	76778	619944
551	76885	619543
552	76975	619001
553	77170	619311
554	77297	619074
555	77443	618989
556	77577	618809
557	77733	618804
558	77959	619352
559	78096	619191
560	78314	619675
561	78436	619394
562	78557	619114
563	78744	619342
564	78900	619335
565	78999	618874
566	79112	618528
567	79390	619471
568	79564	619595
569	79705	619461
570	79859	619435
571	79960	618995
572	80093	618798
573	80219	618554
574	80342	618291
575	80518	618425
576	80642	618168
577	80850	618544
578	80978	618320
579	81128	618256
580	81252	617991
581	81369	617683
582	81528	617683
583	81648	617398
584	81788	617260
585	81925	617096
586	82079	617067
587	82281	617391
588	82439	617388
589	82617	617529
590	82818	617849
591	82951	617650
592	83077	617403
593	83212	617232
594	83385	617331
595	83546	617345
596	83786	617945
597	83922	617773
598	84080	617762
599	84203	617493
600	84400	617765
601	84572	617860
602	84694	617580
603	84826	617380
604	85004	617509
605	85135	617303
606	85243	616927
607	85436	617164
608	85607	617244
609	85765	617228
610	85899	617045
611	86012	616703
612	86127	616378
613	86256	616156
614	86422	616199
615	86594	616284
616	86721	616044
617	86877	616016
618	86989	615673
619	87150	615672
620	87273	615413
621	87340	614753
622	87421	614197
623	87529	613827
624	87699	613898
625	87837	613738
626	88021	613901
627	88152	613701
628	88353	613978
629	88496	613858
630	88689	614080
631	88867	614197
632	88991	613942
633	89104	613610
634	89236	613413
635	89351	613100
636	89499	613008
637	89619	612725
638	89768	612647
639	89900	612447
640	89984	611923
641	90146	611931
642	90298	611865
643	90501	612151
644	90638	611984
645	90708	611367
646	90828	611094
647	90974	610986
648	91079	610612
649	91174	610168
650	91311	610008
651	91433	609745
652	91580	609651
653	91776	609880
654	91919	609754
655	92053	609574
656	92201	609485
657	92344	609362
658	92443	608950
659	92572	608736
660	92702	608529
661	92834	608332
662	92941	607976
663	93030	607497
664	93148	607217
665	93278	607008
666	93420	606881
667	93576	606844
668	93712	606682
669	93860	606591
670	94028	606632
671	94108	606106
672	94254	606003
673	94420	606028
